Price,Title,Location,Date,Url
100 лв.,Sonnet Crescendo G3 CPU Upgrade PPCG3-500-1-B09,гр. Поморие,10  апр,https://www.olx.bg/ad/sonnet-crescendo-g3-cpu-upgrade-ppcg3-500-1-b09-CID632-ID87Vfw.html#2c6fe5110d
68 лв.,"Компютърни части - видео карти, захранване, RAM, CPU, DVD-RW","гр. София, Оборище",9  апр,https://www.olx.bg/ad/kompyutarni-chasti-video-karti-zahranvane-ram-cpu-dvd-rw-CID632-ID7BtZZ.html#2c6fe5110d
30 лв.,Охлаждане за процесор cpu cooler сокет 1151,"гр. София, Витоша",9  апр,https://www.olx.bg/ad/ohlazhdane-za-protsesor-cpu-cooler-soket-1151-CID632-ID89pqJ.html#2c6fe5110d
10 лв.,AMD Athlon - AMD Turion 2Core 64-bit Cpu - процесор,гр. Момчилград,9  апр,https://www.olx.bg/ad/amd-athlon-amd-turion-2core-64-bit-cpu-protsesor-CID632-ID85Css.html#2c6fe5110d
10 лв.,CPU Intel Celeron E1400 Dual-Core 2.00 GHz Socket LGA775,"гр. София, Младост 1",8  апр,https://www.olx.bg/ad/cpu-intel-celeron-e1400-dual-core-2-00-ghz-socket-lga775-CID632-ID89FaE.html#2c6fe5110d
30 лв.,Процесор CPU Intel® Pentium® Processor P6000,"гр. София, Витоша",8  апр,https://www.olx.bg/ad/protsesor-cpu-intel-pentium-processor-p6000-CID632-ID7NeXm.html#2c6fe5110d
173 лв.,"Водно охлаждане COUGAR AQUA 240 (240ММ), Intel/AMD CPU","гр. София, Орландовци",8  апр,https://www.olx.bg/ad/vodno-ohlazhdane-cougar-aqua-240-240mm-intel-amd-cpu-CID632-ID89Eg7.html#2c6fe5110d
30 лв.,Notebook cpu,"гр. Велико Търново, Колю Фичето",8  апр,https://www.olx.bg/ad/notebook-cpu-CID632-ID7jgWR.html#2c6fe5110d
25 лв.,Продавам Дъно за Лаптоп Acer Aspire V5-573G с CPU I7/4GbRAM НЕРАБОТЕЩО,"гр. София, Гоце Делчев",8  апр,https://www.olx.bg/ad/prodavam-dano-za-laptop-acer-aspire-v5-573g-s-cpu-i7-4gbram-nerabotescho-CID632-ID7VGYt.html#2c6fe5110d
65 лв.,Процесор 1150 Intel Core I3 4160 3.60 GHZ L3 3MB Haswell CPU,гр. Горна Оряховица,8  апр,https://www.olx.bg/ad/protsesor-1150-intel-core-i3-4160-3-60-ghz-l3-3mb-haswell-cpu-CID632-ID7UJGc.html#2c6fe5110d
180 лв.,Дъно+cpu x4 +gtx480 +8 ram,с. Боровци,7  апр,https://www.olx.bg/ad/dano-cpu-x4-gtx480-8-ram-CID632-ID89Bzp.html#2c6fe5110d
