Price,Title,Location,Date,Url
130.0,"Раница ThinkPad Professional на Lenovo, Нова",гр. Самоков,9  апр,https://www.olx.bg/ad/ranitsa-thinkpad-professional-na-lenovo-nova-CID632-ID80rYJ.html#d42fcfef71
15.0,Зарядно устройство за лаптоп Lenovo Thinkpad Series,"гр. София, Лагера",9  апр,https://www.olx.bg/ad/zaryadno-ustroystvo-za-laptop-lenovo-thinkpad-series-CID632-ID89FQx.html#d42fcfef71
20.0,На части Lenovo thinkpad L512,"гр. Велико Търново, Зона Б",8  апр,https://www.olx.bg/ad/na-chasti-lenovo-thinkpad-l512-CID632-ID7U9Kp.html#d42fcfef71
20.0,На части Lenovo thinkpad L412,"гр. Велико Търново, Зона Б",8  апр,https://www.olx.bg/ad/na-chasti-lenovo-thinkpad-l412-CID632-ID7U9K5.html#d42fcfef71
85.0,Lenovo ThinkPad X1 Mouse Безжична мишка,"гр. Пловдив, Каменица 2",8  апр,https://www.olx.bg/ad/lenovo-thinkpad-x1-mouse-bezzhichna-mishka-CID632-ID89DAX.html#d42fcfef71
40.0,"LENOVO Thinkpad CPU Intel Core i3-3110M SR0N1 2,4Ghz FRU 04W3989","гр. Варна, Погреби",6  апр,https://www.olx.bg/ad/lenovo-thinkpad-cpu-intel-core-i3-3110m-sr0n1-2-4ghz-fru-04w3989-CID632-ID63u1e.html#d42fcfef71
29.0,135/90/65/45W ThinkPad Lenovo оригинално зарядно кръгла букса с пин,"гр. София, Слатина",6  апр,https://www.olx.bg/ad/135-90-65-45w-thinkpad-lenovo-originalno-zaryadno-kragla-buksa-s-pin-CID632-ID7NvfN.html#d42fcfef71
69.0,Клавиатура ЕSК-316А за Lenovo Thinkpad 10,"гр. Русе, Център",6  апр,https://www.olx.bg/ad/klaviatura-esk-316a-za-lenovo-thinkpad-10-CID632-ID89wdr.html#d42fcfef71
25.0,Ново Зарядно устройство 65W 20V 3.25A за лаптоп Lenovo Thinkpad Series,"гр. София, Кръстова вада",6  апр,https://www.olx.bg/ad/novo-zaryadno-ustroystvo-65w-20v-3-25a-za-laptop-lenovo-thinkpad-series-CID632-ID80qPz.html#d42fcfef71
120.0,Кожена чанта за Лаптоп ThinkPad,"гр. София, м-т Гърдова глава",6  апр,https://www.olx.bg/ad/kozhena-chanta-za-laptop-thinkpad-CID632-ID89uuJ.html#d42fcfef71
20.0,Охлаждане за Lenovo Thinkpad T420,"гр. Плевен, Сторгозия",5  апр,https://www.olx.bg/ad/ohlazhdane-za-lenovo-thinkpad-t420-CID632-ID89t6w.html#d42fcfef71
15.0,Чисто нова чанта за лаптоп ThinkPad,"гр. София, Център",5  апр,https://www.olx.bg/ad/chisto-nova-chanta-za-laptop-thinkpad-CID632-ID89s0H.html#d42fcfef71
15.0,Продавам части от Lenovo thinkpad t61,гр. Трявна,4  апр,https://www.olx.bg/ad/prodavam-chasti-ot-lenovo-thinkpad-t61-CID632-ID7CUx9.html#d42fcfef71
29.0,"IBM Lenovo ThinkPad T40p, на части","гр. Смолян, Стар център",4  апр,https://www.olx.bg/ad/ibm-lenovo-thinkpad-t40p-na-chasti-CID632-ID8070i.html#d42fcfef71
19.99,Докинг станция за лаптоп Lenovo Thinkpad с ключове + Гаранция,"гр. Бургас, Лазур",днес 07:38,https://www.olx.bg/ad/doking-stantsiya-za-laptop-lenovo-thinkpad-s-klyuchove-garantsiya-CID632-ID6r5XK.html#d42fcfef71
22.0,DVD записвачка за Lenovo Thinkpad,"гр. София, Витоша",днес 19:52,https://www.olx.bg/ad/dvd-zapisvachka-za-lenovo-thinkpad-CID632-ID86toC.html#d42fcfef71
379.0,Док станция ThinkPad Ultra модел 40AJ0135UK / EU,"гр. София, Дианабад",днес 08:59,https://www.olx.bg/ad/dok-stantsiya-thinkpad-ultra-model-40aj0135uk-eu-CID632-ID7HqIr.html#d42fcfef71
19.99,Докинг станция за лаптоп Lenovo Thinkpad с ключове + Гаранция,"гр. Бургас, Лазур",днес 07:38,https://www.olx.bg/ad/doking-stantsiya-za-laptop-lenovo-thinkpad-s-klyuchove-garantsiya-CID632-ID6r5XK.html#d42fcfef71
40.0,Работещ Lenovo ThinkPad Edge E320 на части,"гр. Варна, Възраждане 1",вчера 22:07,https://www.olx.bg/ad/rabotesch-lenovo-thinkpad-edge-e320-na-chasti-CID632-ID7Ld2w.html#d42fcfef71
15.0,Touchpad sticker for Thinkpad lenovo W530 Т520 T420 T410 T400S T400S T,"гр. София, 7-ми 11-ти километър",вчера 18:09,https://www.olx.bg/ad/touchpad-sticker-for-thinkpad-lenovo-w530-t520-t420-t410-t400s-t400s-t-CID632-ID6CnxD.html#d42fcfef71
13.0,"Вентилатор за Lenovo ThinkPad T420s, T430s","гр. Пловдив, Каменица 2",14  апр,https://www.olx.bg/ad/ventilator-za-lenovo-thinkpad-t420s-t430s-CID632-ID8a1hk.html#d42fcfef71
20.0,Оригинално зарядно за IBM Thinkpad,"гр. София, Младост 1",14  апр,https://www.olx.bg/ad/originalno-zaryadno-za-ibm-thinkpad-CID632-ID6oyr6.html#d42fcfef71
20.0,Докинг станция Lenovo ThinkPad,"гр. Русе, Басарбово",14  апр,https://www.olx.bg/ad/doking-stantsiya-lenovo-thinkpad-CID632-ID86lIH.html#d42fcfef71
20.0,HDD Caddy Cover w/Screw for IBM FOR Thinkpad X60T X61,"гр. София, Люлин - център",14  апр,https://www.olx.bg/ad/hdd-caddy-cover-w-screw-for-ibm-for-thinkpad-x60t-x61-CID632-ID82DHw.html#d42fcfef71
65.0,Thinkpad t60 за части,гр. Казанлък,14  апр,https://www.olx.bg/ad/thinkpad-t60-za-chasti-CID632-ID7VN3T.html#d42fcfef71
70.0,Lenovo Thinkpad X240 X250 LCD дисплеи,гр. Дупница,13  апр,https://www.olx.bg/ad/lenovo-thinkpad-x240-x250-lcd-displei-CID632-ID84hvr.html#d42fcfef71
45.0,Lenovo Thinkpad Essential Port Replicator,гр. Казанлък,13  апр,https://www.olx.bg/ad/lenovo-thinkpad-essential-port-replicator-CID632-ID4yy2m.html#d42fcfef71
40.0,Клавиатура с подцветка за Lenovo Thinkpad X240/x250/x260 като,"гр. София, Люлин 7",13  апр,https://www.olx.bg/ad/klaviatura-s-podtsvetka-za-lenovo-thinkpad-x240-x250-x260-kato-CID632-ID89WjZ.html#d42fcfef71
4.0,Клавиши за Thinkpad L540/T560/W540/T540P/W541/T550/W550S/L560,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/klavishi-za-thinkpad-l540-t560-w540-t540p-w541-t550-w550s-l560-CID632-ID89TZr.html#d42fcfef71
20.0,Lenovo Thinkpad L540-долен капак,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/lenovo-thinkpad-l540-dolen-kapak-CID632-ID89TVX.html#d42fcfef71
20.0,Lenovo Thinkpad L540-оригинален безел,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/lenovo-thinkpad-l540-originalen-bezel-CID632-ID89TVK.html#d42fcfef71
30.0,Lenovo Thinkpad L540-преден панел,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/lenovo-thinkpad-l540-preden-panel-CID632-ID89TWz.html#d42fcfef71
15.0,Тъчпад за Thinkpad L440/T440P/T440/T440S/T450/T431S/T540P/W540/L540,"гр. София, Орландовци",12  апр,https://www.olx.bg/ad/tachpad-za-thinkpad-l440-t440p-t440-t440s-t450-t431s-t540p-w540-l540-CID632-ID89TTc.html#d42fcfef71
40.0,Клавиатура за Lenovo Thinkpad T430 T530 W530 X230,"гр. Плевен, Сторгозия",12  апр,https://www.olx.bg/ad/klaviatura-za-lenovo-thinkpad-t430-t530-w530-x230-CID632-ID89Qqw.html#d42fcfef71
55.0,Lenovo Thinkpad docking station Type 4337,"гр. Варна, Червен площад",11  апр,https://www.olx.bg/ad/lenovo-thinkpad-docking-station-type-4337-CID632-ID85bq2.html#d42fcfef71
79.0,Нова Клавиатура за Lenovo ThinkPad E531 E540 FRU-04Y2699,гр. Троян,10  апр,https://www.olx.bg/ad/nova-klaviatura-za-lenovo-thinkpad-e531-e540-fru-04y2699-CID632-ID6Abx3.html#d42fcfef71
250.0,Lenovo ThinkPad X220 12.5 Core I5 2520 4GB DDR3 320HDD IPS Display,"гр. София, Обеля 2",10  апр,https://www.olx.bg/ad/lenovo-thinkpad-x220-12-5-core-i5-2520-4gb-ddr3-320hdd-ips-display-CID632-ID6skoe.html#d42fcfef71
10.0,Тъч пад за lenovo thinkpad e530,гр. Девня,10  апр,https://www.olx.bg/ad/tach-pad-za-lenovo-thinkpad-e530-CID632-ID81odi.html#d42fcfef71
